frame,period,timeUTC,stadium_id,gameClockTime,gameClockRunning,shotClockTime,shotClockRunning,ball_x,ball_y,ball_z,player_id,fullName,jersey_number,team_id,centroid_x,centroid_y,centroid_z,last_touch_player_id,last_touch_player_jersey,last_touch_attacking_pos_x,last_touch_start_timeUTC,lAnkle_x,lAnkle_y,lAnkle_z,lEar_x,lEar_y,lEar_z,lElbow_x,lElbow_y,lElbow_z,lEye_x,lEye_y,lEye_z,lHip_x,lHip_y,lHip_z,lKnee_x,lKnee_y,lKnee_z,lShoulder_x,lShoulder_y,lShoulder_z,lWrist_x,lWrist_y,lWrist_z,neck_x,neck_y,neck_z,nose_x,nose_y,nose_z,rAnkle_x,rAnkle_y,rAnkle_z,rEar_x,rEar_y,rEar_z,rElbow_x,rElbow_y,rElbow_z,rEye_x,rEye_y,rEye_z,rHip_x,rHip_y,rHip_z,rKnee_x,rKnee_y,rKnee_z,rShoulder_x,rShoulder_y,rShoulder_z,rWrist_x,rWrist_y,rWrist_z,midHip_x,midHip_y,midHip_z,lHeel_x,lHeel_y,lHeel_z,lBigToe_x,lBigToe_y,lBigToe_z,lSmallToe_x,lSmallToe_y,lSmallToe_z,lThumb_x,lThumb_y,lThumb_z,lPinky_x,lPinky_y,lPinky_z,rHeel_x,rHeel_y,rHeel_z,rBigToe_x,rBigToe_y,rBigToe_z,rSmallToe_x,rSmallToe_y,rSmallToe_z,rThumb_x,rThumb_y,rThumb_z,rPinky_x,rPinky_y,rPinky_z,teamName,isHomeTeam
1,1,2025-11-27T00:41:53.965Z,1000100,12:00,0,24,1,7.403,-19.732,82.23,1628398,Kyle Kuzma,18,1610612749,-6.929,-102.279,41.303,1626181.0,24,False,2025-11-27T00:41:53.965Z,-16.203,-104.362,4.84,-9.821,-99.184,75.637,-17.353,-103.657,52.404,-7.086,-94.768,74.453,-10.901,-101.706,41.16,-13.475,-101.134,23.35,-14.282,-101.714,66.752,-19.007,-99.353,41.67,-6.684,-101.628,67.996,-5.964,-94.849,72.256,2.133,-104.67,5.079,-2.781,-99.916,75.397,2.406,-104.537,51.492,-4.469,-95.053,74.326,-2.939,-102.728,41.244,-0.384,-100.9,23.517,0.368,-102.455,66.005,4.867,-97.445,42.67,-6.947,-102.403,41.505,-16.103,-105.763,0.623,-17.767,-95.025,1.324,-20.187,-97.067,1.334,-17.626,-97.556,38.762,-19.586,-100.414,36.422,2.196,-106.368,1.397,2.493,-95.634,0.612,5.057,-97.498,0.853,4.588,-94.343,40.697,7.204,-96.166,37.99,Bucks,False
1,1,2025-11-27T00:41:53.965Z,1000100,12:00,0,24,1,7.403,-19.732,82.23,1629018,Gary Trent Jr.,5,1610612749,-4.554,86.881,38.296,1626181.0,24,False,2025-11-27T00:41:53.965Z,4.163,83.442,4.147,2.136,68.259,63.366,7.633,83.513,47.477,-0.054,64.731,60.027,-0.828,87.271,38.027,2.292,84.013,21.589,4.788,74.815,57.891,2.818,82.032,37.468,-2.787,73.675,58.823,-1.585,65.739,58.375,-13.179,83.573,4.502,-4.84,67.277,64.094,-13.486,82.698,48.07,-2.657,64.397,60.275,-8.29,86.491,38.328,-10.548,82.812,21.838,-9.769,73.413,57.671,-9.766,81.594,37.659,-4.544,86.882,38.533,3.876,84.575,-0.118,4.232,74.103,1.045,6.866,75.825,0.739,-0.039,81.665,35.264,2.512,83.162,32.484,-13.355,84.66,0.619,-11.889,74.361,1.339,-14.722,75.787,1.259,-7.29,82.099,35.057,-10.551,82.837,32.755,Bucks,False
1,1,2025-11-27T00:41:53.965Z,1000100,12:00,0,24,1,7.403,-19.732,82.23,1631157,Ryan Rollins,13,1610612749,-179.842,-6.176,36.928,1626181.0,24,False,2025-11-27T00:41:53.965Z,-180.392,6.129,6.391,-170.355,-3.126,66.339,-175.089,5.298,44.636,-165.908,-5.2,64.262,-179.746,-2.255,36.862,-173.357,6.446,22.443,-174.191,0.966,57.906,-169.739,3.396,34.208,-173.739,-6.496,59.17,-166.247,-6.3,62.078,-179.442,-18.513,5.53,-170.153,-10.196,65.982,-176.358,-17.108,44.723,-165.853,-7.83,64.094,-179.868,-10.095,36.768,-173.533,-18.29,22.031,-174.02,-13.987,58.157,-170.322,-15.511,34.741,-179.913,-6.177,37.155,-182.211,5.457,2.416,-172.485,9.485,1.56,-175.033,11.346,1.782,-168.625,1.125,31.397,-169.326,4.337,28.507,-180.942,-18.291,1.789,-171.198,-22.042,1.483,-173.811,-23.814,1.794,-168.67,-13.332,32.128,-169.431,-16.384,29.084,Bucks,False
1,1,2025-11-27T00:41:53.965Z,1000100,12:00,0,24,1,7.403,-19.732,82.23,1631260,AJ Green,20,1610612749,-98.901,66.757,37.051,1626181.0,24,False,2025-11-27T00:41:53.965Z,-94.215,78.056,5.964,-94.834,65.993,70.16,-92.534,74.075,47.013,-91.379,61.945,69.896,-96.025,69.195,36.95,-90.676,71.778,21.357,-93.355,69.792,60.477,-87.846,73.446,36.929,-96.555,63.359,62.141,-91.369,60.784,67.718,-106.767,63.183,4.052,-97.712,59.539,69.691,-105.521,57.094,46.321,-92.454,59.547,69.682,-101.714,64.247,36.935,-103.312,61.307,20.587,-101.844,58.664,59.898,-104.259,52.278,36.463,-98.964,66.83,37.269,-96.07,79.098,2.106,-87.478,73.58,0.664,-87.419,76.733,0.851,-87.217,71.387,34.054,-88.009,74.804,32.163,-107.412,63.939,0.154,-100.424,56.56,1.043,-103.552,56.089,0.877,-102.417,52.962,33.456,-106.01,52.401,31.825,Bucks,False
1,1,2025-11-27T00:41:53.965Z,1000100,12:00,0,24,1,7.403,-19.732,82.23,1628389,Bam Adebayo,13,1610612748,22.607,-0.808,39.524,1626181.0,24,False,2025-11-27T00:41:53.965Z,36.036,-4.228,8.371,21.733,-9.851,71.682,27.671,-12.553,47.957,16.577,-10.941,72.469,25.834,-3.053,39.284,26.975,-12.7,22.988,25.071,-12.052,61.575,21.992,-14.986,38.037,18.855,-8.267,63.718,15.188,-10.71,70.442,11.1,2.591,5.466,17.323,-4.336,71.144,1.818,-2.809,55.683,14.934,-8.893,72.23,19.341,1.392,39.534,9.881,-3.13,23.723,14.244,-1.628,61.738,2.394,-8.259,65.893,22.647,-0.764,39.754,37.942,-1.686,5.213,32.936,-11.016,1.021,35.967,-11.074,1.955,18.836,-14.179,36.418,20.872,-15.057,32.992,12.323,3.935,1.808,5.693,-5.117,0.893,4.635,-2.109,0.944,4.423,-7.917,68.894,0.977,-8.967,70.813,Heat,True
1,1,2025-11-27T00:41:53.965Z,1000100,12:00,0,24,1,7.403,-19.732,82.23,1626167,Myles Turner,3,1610612749,-22.814,-13.855,41.323,1626181.0,24,False,2025-11-27T00:41:53.965Z,-35.965,-4.57,5.955,-12.099,-6.758,74.007,-27.444,-2.212,54.254,-7.29,-9.043,73.802,-25.255,-10.659,41.772,-26.136,-4.404,23.51,-17.613,-4.578,65.314,-23.83,2.569,43.54,-12.512,-9.9,65.997,-6.784,-10.109,71.634,-10.336,-22.046,4.734,-12.086,-13.826,73.569,-2.838,-21.684,50.91,-7.29,-11.671,73.6,-20.359,-17.001,40.642,-10.547,-16.286,24.011,-10.305,-17.236,63.117,0.803,-18.084,61.953,-22.828,-13.907,41.554,-38.001,-5.868,2.165,-30.238,2.563,0.577,-33.265,3.247,1.249,-21.273,3.135,40.888,-24.424,4.511,38.362,-11.409,-22.542,0.812,-2.174,-15.888,1.914,-2.077,-19.066,1.623,-1.683,-16.936,64.483,1.597,-15.935,67.022,Bucks,False
1,1,2025-11-27T00:41:53.965Z,1000100,12:00,0,24,1,7.403,-19.732,82.23,203952,Andrew Wiggins,22,1610612748,34.348,-114.703,40.244,1626181.0,24,False,2025-11-27T00:41:53.965Z,23.503,-108.137,5.534,25.479,-91.679,60.758,24.355,-103.597,42.165,25.565,-86.951,58.302,30.787,-115.273,39.769,25.207,-107.431,23.885,23.219,-96.114,54.018,26.044,-104.168,31.256,30.629,-93.75,54.171,26.895,-86.933,56.223,43.663,-106.646,5.708,31.74,-88.37,60.71,38.585,-101.44,41.802,27.906,-85.741,58.252,37.945,-114.223,40.503,40.617,-106.351,23.896,37.178,-94.053,53.685,39.01,-102.026,30.865,34.312,-114.612,40.461,23.686,-109.529,1.304,21.748,-98.659,2.095,19.366,-100.749,2.062,27.139,-105.729,28.195,23.201,-105.718,27.415,43.555,-108.251,1.974,44.193,-97.334,1.521,46.706,-99.285,1.62,37.662,-103.324,27.783,41.501,-104.314,27.151,Heat,True
1,1,2025-11-27T00:41:53.965Z,1000100,12:00,0,24,1,7.403,-19.732,82.23,1630558,Davion Mitchell,45,1610612748,372.834,-8.687,36.942,1626181.0,24,False,2025-11-27T00:41:53.965Z,375.18,-14.551,5.514,368.345,-11.411,69.118,372.739,-20.248,49.319,363.745,-8.735,68.869,371.684,-12.236,36.701,368.63,-11.836,20.494,368.708,-15.397,60.072,368.947,-19.144,39.841,369.238,-8.055,61.234,363.388,-7.563,66.727,377.809,-5.565,6.063,368.916,-4.355,68.925,376.321,0.888,48.1,363.962,-6.111,68.758,373.892,-5.101,36.967,370.824,-3.073,20.884,371.873,-1.635,59.47,374.256,4.528,38.82,372.926,-8.724,37.158,377.221,-14.76,1.617,367.508,-11.619,0.466,368.286,-14.68,0.411,367.2,-17.254,37.33,368.693,-20.105,34.967,379.737,-6.517,2.666,370.02,-4.451,0.526,372.362,-2.319,0.582,372.261,4.358,35.833,375.699,5.51,34.161,Heat,True
1,1,2025-11-27T00:41:53.965Z,1000100,12:00,0,24,1,7.403,-19.732,82.23,1629639,Tyler Herro,14,1610612748,32.021,87.768,40.24,1626181.0,24,False,2025-11-27T00:41:53.965Z,44.9,87.237,7.115,33.228,84.089,72.578,42.464,83.704,52.807,29.552,80.33,71.712,35.68,86.525,40.305,39.579,82.092,22.854,37.211,84.757,64.553,34.029,79.971,58.048,30.199,86.967,65.044,28.336,80.597,69.581,29.973,91.521,4.45,26.5,86.298,72.713,21.782,93.651,51.829,27.051,81.163,71.724,28.333,88.895,39.969,28.008,89.024,21.55,23.64,88.278,63.421,19.176,86.182,44.895,32.049,87.883,40.446,45.055,90.171,3.799,46.153,80.174,0.244,48.656,81.897,1.123,33.159,80.999,61.385,29.457,80.409,59.994,30.681,92.488,0.589,24.632,83.862,1.107,23.533,86.839,1.033,21.034,84.019,42.7,18.511,85.535,39.993,Heat,True
1,1,2025-11-27T00:41:53.965Z,1000100,12:00,0,24,1,7.403,-19.732,82.23,1626181,Norman Powell,24,1610612748,152.749,-2.563,33.117,1626181.0,24,False,2025-11-27T00:41:53.965Z,148.447,-24.883,4.848,134.575,-6.557,60.055,148.533,-15.315,42.416,130.382,-4.387,57.585,152.909,-6.746,32.915,144.869,-18.17,21.506,141.277,-10.358,52.499,144.716,-18.533,32.938,138.676,-3.233,53.248,130.944,-3.288,55.448,148.379,19.854,5.086,134.547,0.516,59.716,145.399,9.096,40.723,130.395,-1.756,57.426,152.598,1.625,33.082,144.727,13.27,21.78,139.783,4.079,51.776,142.784,12.792,31.114,152.741,-2.569,33.355,150.072,-24.933,0.711,139.423,-27.173,0.945,141.591,-29.466,1.201,142.073,-18.281,30.44,143.768,-21.682,28.912,149.906,19.901,1.329,139.465,22.506,1.192,141.841,24.59,1.534,140.101,12.854,28.647,142.121,16.086,27.146,Heat,True
