unmatched_type,game_file,game_id,opponent,period,shooter_id,shooter_name,release_frame,release_game_clock,release_shot_clock,contest_distance_ft,shot_contest_quality,pbp_shot_result,pbp_conclusion_game_clock,pbp_description
tracking_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,1,1628398,Kyle Kuzma,47788,4:31,18,5.603,37.79,NA,NA,NA
tracking_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,3,1631260,AJ Green,214047,10:01,9,3.616,67.34,NA,NA,NA
tracking_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,3,1626167,Myles Turner,219533,9:27,1.4,3.739,44.52,NA,NA,NA
tracking_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,4,1631157,Ryan Rollins,347170,6:34,22,6.79,56.24,NA,NA,NA
tracking_only,nba_game_0022500296_processed.parquet,0022500296,Pistons,2,202699,Tobias Harris,181498,3:21,13,6.196,23.95,NA,NA,NA
tracking_only,nba_game_0022500313_processed.parquet,0022500313,Clippers,1,1627739,Kris Dunn,12881,9:05,20,6.682,15.43,NA,NA,NA
tracking_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,1,1642843,Cooper Flagg,20516,8:58,18,10.008,24.43,NA,NA,NA
tracking_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,1,202691,Klay Thompson,89120,1:39,1.1,5.806,55.08,NA,NA,NA
tracking_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,3,1642948,Ryan Nembhard,224484,10:25,14,2.548,61.59,NA,NA,NA
tracking_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,4,1642948,Ryan Nembhard,406411,25.1,2.5,6.103,44.24,NA,NA,NA
tracking_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,2,201144,Mike Conley,192363,2:09,21,5.337,31.32,NA,NA,NA
tracking_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,3,1628978,Donte DiVincenzo,281082,2:53,23,18.047,0.83,NA,NA,NA
tracking_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,4,1642265,Rob Dillingham,416113,40.2,21,4.523,48.69,NA,NA,NA
tracking_only,nba_game_0022500553_processed.parquet,0022500553,Thunder,2,1630598,Aaron Wiggins,124703,9:47,12,9.185,21.88,NA,NA,NA
tracking_only,nba_game_0022500553_processed.parquet,0022500553,Thunder,2,1642349,Ajay Mitchell,202593,0.6,NA,9.678,9.38,NA,NA,NA
tracking_only,nba_game_0022500553_processed.parquet,0022500553,Thunder,3,1628983,Shai Gilgeous-Alexander,269418,4:58,15,4.064,23.62,NA,NA,NA
tracking_only,nba_game_0022500564_processed.parquet,0022500564,Suns,1,1631221,Collin Gillespie,26617,6:52,14,15.715,4.95,NA,NA,NA
tracking_only,nba_game_0022500564_processed.parquet,0022500564,Suns,1,1626164,Devin Booker,47456,4:22,18,5.57,21.06,NA,NA,NA
tracking_only,nba_game_0022500564_processed.parquet,0022500564,Suns,1,1642346,Ryan Dunn,75069,1:43,13,15.186,17.09,NA,NA,NA
tracking_only,nba_game_0022500564_processed.parquet,0022500564,Suns,4,1631221,Collin Gillespie,339820,10:43,10,8.624,45.59,NA,NA,NA
tracking_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,1,1642263,Reed Sheppard,7281,10:15,21,6.546,46.57,NA,NA,NA
tracking_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,1,1642263,Reed Sheppard,29997,7:12,9,7.049,37.14,NA,NA,NA
tracking_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,2,201142,Kevin Durant,201575,1:44,4.3,4.872,52.9,NA,NA,NA
tracking_only,nba_game_0022500886_processed.parquet,0022500886,Nets,1,1642874,Danny Wolf,62747,3:03,17,5.041,32.36,NA,NA,NA
tracking_only,nba_game_0022500886_processed.parquet,0022500886,Nets,2,1630533,Ziaire Williams,103277,10:34,18,6.402,57.59,NA,NA,NA
tracking_only,nba_game_0022500886_processed.parquet,0022500886,Nets,2,1629008,Michael Porter Jr.,151361,6:18,14,3.395,68.12,NA,NA,NA
tracking_only,nba_game_0022500901_processed.parquet,0022500901,Nets,3,1629008,Michael Porter Jr.,218388,9:34,16,1.871,73.45,NA,NA,NA
tracking_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,1,1628378,Donovan Mitchell,83885,1:15,5,11.531,7.1,NA,NA,NA
tracking_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,2,1631165,Keon Ellis,191051,1:35,15,6.862,55.98,NA,NA,NA
tracking_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,3,203471,Dennis Schroder,270525,5:38,23,8.392,12.54,NA,NA,NA
tracking_only,nba_game_0022501055_processed.parquet,0022501055,Cavaliers,4,201935,James Harden,356971,7:58,14,6.151,58.47,NA,NA,NA
tracking_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,1,1629614,Andrew Nembhard,3867,10:59,18,5.166,37.98,NA,NA,NA
tracking_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,2,1629614,Andrew Nembhard,198419,1:51,19,5.718,31.7,NA,NA,NA
tracking_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,3,1627783,Pascal Siakam,222913,10:21,5,5.086,37.66,NA,NA,NA
tracking_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,3,1629614,Andrew Nembhard,266144,5:04,10,4.402,54.23,NA,NA,NA
tracking_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,4,1641771,Jalen Slawson,346876,6:25,17,10.95,30.97,NA,NA,NA
tracking_only,nba_game_0022501083_processed.parquet,0022501083,Pacers,4,1630643,Jay Huff,376652,3:24,10,7.846,52.54,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,1,202331,Paul George,27275,7:06,20,10.1,15.0,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,1,202331,Paul George,32789,5:35,19,8.576,13.51,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,1,1630178,Tyrese Maxey,82287,1:37,21,11.818,4.36,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,2,1630178,Tyrese Maxey,111051,11:48,12,6.233,54.52,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,2,1630178,Tyrese Maxey,117022,10:08,16,9.171,13.28,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,4,1630178,Tyrese Maxey,423835,4:09,11,7.781,32.89,NA,NA,NA
tracking_only,nba_game_0022501091_processed.parquet,0022501091,76ers,4,1642845,VJ Edgecombe,451444,55.6,17,7.533,33.78,NA,NA,NA
tracking_only,nba_game_0022501106_processed.parquet,0022501106,Celtics,1,1630202,Payton Pritchard,62716,3:54,20,15.173,2.5,NA,NA,NA
tracking_only,nba_game_0022501106_processed.parquet,0022501106,Celtics,2,1628401,Derrick White,112056,11:43,7,3.662,60.21,NA,NA,NA
tracking_only,nba_game_0022501106_processed.parquet,0022501106,Celtics,2,1628401,Derrick White,201114,3.5,NA,13.592,5.03,NA,NA,NA
tracking_only,nba_game_0022501201_processed.parquet,0022501201,Magic,1,1630217,Desmond Bane,84011,2:21,15,8.968,10.85,NA,NA,NA
tracking_only,nba_game_0022501201_processed.parquet,0022501201,Magic,1,1630217,Desmond Bane,91665,1:41,24,7.254,10.46,NA,NA,NA
tracking_only,nba_game_0022501201_processed.parquet,0022501201,Magic,1,1629048,Goga Bitadze,93927,1:32,19,5.246,16.93,NA,NA,NA
tracking_only,nba_game_0022501201_processed.parquet,0022501201,Magic,3,1628976,Wendell Carter Jr.,326888,2:47,18,5.74,55.21,NA,NA,NA
