feature,class_label,or_point,ci_lower,ci_upper,n_boot
n_open_3pt_threats,catch_and_shoot,0.9785,0.8172,1.2017,500
min_kickout_defender_gap_ft,catch_and_shoot,0.7123,0.6006,0.829,500
release_shot_clock,catch_and_shoot,0.3655,0.3248,0.4127,500
game_clock_seconds,catch_and_shoot,0.9205,0.7947,1.0611,500
def_hand_elev_above_ball_in,catch_and_shoot,1.2628,1.1532,1.3898,500
arm_extension_ratio,catch_and_shoot,0.953,0.8569,1.067,500
trunk_lean_deg,catch_and_shoot,1.3216,1.1447,1.4888,500
lateral_velocity_ft_s,catch_and_shoot,1.5206,1.3436,1.728,500
min_def_joint_dist_ft,catch_and_shoot,1.6873,1.4974,1.8816,500
n_open_3pt_threats,contested_shot,1.0299,0.9407,1.1531,500
min_kickout_defender_gap_ft,contested_shot,0.7956,0.7088,0.8838,500
release_shot_clock,contested_shot,0.4772,0.4381,0.5135,500
game_clock_seconds,contested_shot,0.9173,0.8299,0.989,500
def_hand_elev_above_ball_in,contested_shot,1.0457,0.9469,1.1529,500
arm_extension_ratio,contested_shot,0.8768,0.8035,0.9672,500
trunk_lean_deg,contested_shot,1.247,1.1264,1.3915,500
lateral_velocity_ft_s,contested_shot,1.1792,1.0558,1.3082,500
min_def_joint_dist_ft,contested_shot,1.6197,1.5035,1.7845,500
n_open_3pt_threats,drive,1.1769,1.0913,1.3041,500
min_kickout_defender_gap_ft,drive,0.9645,0.8691,1.0483,500
release_shot_clock,drive,0.7521,0.7088,0.7953,500
game_clock_seconds,drive,0.9251,0.8561,0.9837,500
def_hand_elev_above_ball_in,drive,1.0394,0.9903,1.0997,500
arm_extension_ratio,drive,0.9411,0.8732,1.0222,500
trunk_lean_deg,drive,1.1368,1.0655,1.1974,500
lateral_velocity_ft_s,drive,1.3726,1.2952,1.4637,500
min_def_joint_dist_ft,drive,0.8969,0.831,0.9637,500
n_open_3pt_threats,foul_turnover,0.948,0.8483,1.0853,500
min_kickout_defender_gap_ft,foul_turnover,1.0436,0.914,1.1765,500
release_shot_clock,foul_turnover,0.7342,0.6562,0.8099,500
game_clock_seconds,foul_turnover,0.9888,0.9087,1.0647,500
def_hand_elev_above_ball_in,foul_turnover,1.157,1.0761,1.2671,500
arm_extension_ratio,foul_turnover,0.7823,0.7113,0.8725,500
trunk_lean_deg,foul_turnover,0.9668,0.8354,1.0988,500
lateral_velocity_ft_s,foul_turnover,1.0185,0.9341,1.1012,500
min_def_joint_dist_ft,foul_turnover,0.7181,0.5898,0.8522,500
