class_label,bin,n,mean_pred_prob,obs_freq,abs_error
catch_and_shoot,1,691,0.004574,0.001447,0.003126
catch_and_shoot,2,690,0.008643,0.005797,0.002845
catch_and_shoot,3,691,0.011945,0.01013,0.001815
catch_and_shoot,4,690,0.015265,0.008696,0.00657
catch_and_shoot,5,690,0.019341,0.014493,0.004848
catch_and_shoot,6,691,0.024294,0.024602,0.000308
catch_and_shoot,7,690,0.031444,0.042029,0.010585
catch_and_shoot,8,691,0.041859,0.052098,0.010239
catch_and_shoot,9,690,0.06247,0.069565,0.007095
catch_and_shoot,10,691,0.135413,0.127352,0.008062
contested_shot,1,691,0.022905,0.027496,0.004592
contested_shot,2,690,0.036926,0.042029,0.005103
contested_shot,3,691,0.04626,0.062229,0.015969
contested_shot,4,690,0.054633,0.05942,0.004788
contested_shot,5,690,0.063302,0.056522,0.006781
contested_shot,6,691,0.073882,0.078148,0.004266
contested_shot,7,690,0.088145,0.071014,0.017131
contested_shot,8,691,0.107733,0.092619,0.015113
contested_shot,9,690,0.13832,0.124638,0.013682
contested_shot,10,691,0.220342,0.237337,0.016995
drive,1,691,0.116691,0.091172,0.025519
drive,2,690,0.164585,0.172464,0.007879
drive,3,691,0.188368,0.191027,0.00266
drive,4,690,0.205562,0.208696,0.003134
drive,5,690,0.221944,0.266667,0.044722
drive,6,691,0.23831,0.23589,0.00242
drive,7,690,0.25584,0.26087,0.00503
drive,8,691,0.276505,0.273517,0.002988
drive,9,690,0.304816,0.288406,0.01641
drive,10,691,0.364661,0.350217,0.014444
foul_turnover,1,691,0.037933,0.079595,0.041661
foul_turnover,2,690,0.057287,0.065217,0.00793
foul_turnover,3,691,0.067941,0.070912,0.00297
foul_turnover,4,690,0.076122,0.092754,0.016632
foul_turnover,5,690,0.084345,0.065217,0.019128
foul_turnover,6,691,0.092245,0.075253,0.016991
foul_turnover,7,690,0.101159,0.084058,0.017101
foul_turnover,8,691,0.11272,0.108538,0.004181
foul_turnover,9,690,0.130202,0.113043,0.017159
foul_turnover,10,691,0.17647,0.182344,0.005874
pass_kickout,1,691,0.307935,0.324168,0.016233
pass_kickout,2,690,0.41892,0.423188,0.004268
pass_kickout,3,691,0.47506,0.465991,0.009069
pass_kickout,4,690,0.515957,0.524638,0.00868
pass_kickout,5,690,0.54899,0.53913,0.00986
pass_kickout,6,691,0.579254,0.587554,0.0083
pass_kickout,7,690,0.608053,0.575362,0.032691
pass_kickout,8,691,0.638026,0.626628,0.011398
pass_kickout,9,690,0.677072,0.692754,0.015681
pass_kickout,10,691,0.749169,0.756874,0.007705
