action_vs_pass_kickout,feature,odds_ratio_per_SD
catch_and_shoot,def_dist_at_catch_ft,1.6304
catch_and_shoot,n_open_3pt_threats,1.003
catch_and_shoot,min_kickout_defender_gap_ft,0.7278
catch_and_shoot,release_shot_clock,0.3684
catch_and_shoot,game_clock_seconds,0.923
contested_shot,def_dist_at_catch_ft,1.5692
contested_shot,n_open_3pt_threats,1.0397
contested_shot,min_kickout_defender_gap_ft,0.8043
contested_shot,release_shot_clock,0.4835
contested_shot,game_clock_seconds,0.9171
drive,def_dist_at_catch_ft,0.8792
drive,n_open_3pt_threats,1.1881
drive,min_kickout_defender_gap_ft,0.9919
drive,release_shot_clock,0.7812
drive,game_clock_seconds,0.9233
foul_turnover,def_dist_at_catch_ft,0.723
foul_turnover,n_open_3pt_threats,0.947
foul_turnover,min_kickout_defender_gap_ft,1.059
foul_turnover,release_shot_clock,0.7545
foul_turnover,game_clock_seconds,0.9827
