action_vs_pass_kickout,feature,log_odds_per_SD,odds_ratio_per_SD
catch_and_shoot,n_open_3pt_threats,-0.0218,0.9785
catch_and_shoot,min_kickout_defender_gap_ft,-0.3393,0.7123
catch_and_shoot,release_shot_clock,-1.0066,0.3655
catch_and_shoot,game_clock_seconds,-0.0829,0.9205
catch_and_shoot,def_hand_elev_above_ball_in,0.2334,1.2628
catch_and_shoot,arm_extension_ratio,-0.0481,0.953
catch_and_shoot,trunk_lean_deg,0.2788,1.3216
catch_and_shoot,lateral_velocity_ft_s,0.4191,1.5206
catch_and_shoot,min_def_joint_dist_ft,0.5232,1.6873
contested_shot,n_open_3pt_threats,0.0295,1.0299
contested_shot,min_kickout_defender_gap_ft,-0.2287,0.7956
contested_shot,release_shot_clock,-0.7397,0.4772
contested_shot,game_clock_seconds,-0.0863,0.9173
contested_shot,def_hand_elev_above_ball_in,0.0447,1.0457
contested_shot,arm_extension_ratio,-0.1314,0.8768
contested_shot,trunk_lean_deg,0.2207,1.247
contested_shot,lateral_velocity_ft_s,0.1648,1.1792
contested_shot,min_def_joint_dist_ft,0.4822,1.6197
drive,n_open_3pt_threats,0.1629,1.1769
drive,min_kickout_defender_gap_ft,-0.0361,0.9645
drive,release_shot_clock,-0.2849,0.7521
drive,game_clock_seconds,-0.0779,0.9251
drive,def_hand_elev_above_ball_in,0.0387,1.0394
drive,arm_extension_ratio,-0.0607,0.9411
drive,trunk_lean_deg,0.1282,1.1368
drive,lateral_velocity_ft_s,0.3167,1.3726
drive,min_def_joint_dist_ft,-0.1088,0.8969
foul_turnover,n_open_3pt_threats,-0.0534,0.948
foul_turnover,min_kickout_defender_gap_ft,0.0427,1.0436
foul_turnover,release_shot_clock,-0.3089,0.7342
foul_turnover,game_clock_seconds,-0.0113,0.9888
foul_turnover,def_hand_elev_above_ball_in,0.1458,1.157
foul_turnover,arm_extension_ratio,-0.2455,0.7823
foul_turnover,trunk_lean_deg,-0.0338,0.9668
foul_turnover,lateral_velocity_ft_s,0.0184,1.0185
foul_turnover,min_def_joint_dist_ft,-0.3311,0.7181
