action_vs_pass_kickout,feature,log_odds_per_SD,odds_ratio_per_SD
catch_and_shoot,pre_shot_distance_ft,0.2128,1.2372
catch_and_shoot,pitch_control_value,-0.3436,0.7092
catch_and_shoot,n_open_3pt_threats,-0.022,0.9783
catch_and_shoot,min_kickout_defender_gap_ft,-0.2957,0.744
catch_and_shoot,release_shot_clock,-0.9714,0.3786
catch_and_shoot,game_clock_seconds,0.0375,1.0382
contested_shot,pre_shot_distance_ft,0.2656,1.3042
contested_shot,pitch_control_value,-0.2847,0.7523
contested_shot,n_open_3pt_threats,0.0748,1.0777
contested_shot,min_kickout_defender_gap_ft,-0.1746,0.8398
contested_shot,release_shot_clock,-0.7755,0.4605
contested_shot,game_clock_seconds,-0.0723,0.9303
drive,pre_shot_distance_ft,0.1571,1.1701
drive,pitch_control_value,0.3507,1.42
drive,n_open_3pt_threats,0.0959,1.1006
drive,min_kickout_defender_gap_ft,0.0032,1.0032
drive,release_shot_clock,-0.2861,0.7512
drive,game_clock_seconds,-0.0614,0.9404
foul_turnover,pre_shot_distance_ft,-0.278,0.7573
foul_turnover,pitch_control_value,0.0338,1.0344
foul_turnover,n_open_3pt_threats,-0.0236,0.9767
foul_turnover,min_kickout_defender_gap_ft,-0.0872,0.9165
foul_turnover,release_shot_clock,-0.2235,0.7997
foul_turnover,game_clock_seconds,-0.0141,0.986
