defender,n,lift_mean_pp,ci_lower_pp,ci_upper_pp,excludes_zero
Bam Adebayo,24,-21.92,-37.8,-6.87,True
Nikola Jovic,8,-17.11,-44.77,24.19,False
Kasparas Jakucionis,13,-11.49,-31.41,16.71,False
Tyler Herro,32,-10.55,-28.09,6.06,False
Kel'el Ware,10,-6.53,-42.69,45.29,False
Norman Powell,15,-5.82,-37.53,22.9,False
Andrew Wiggins,50,0.89,-15.61,13.72,False
Simone Fontecchio,9,1.23,-42.45,34.12,False
Dru Smith,16,6.45,-15.61,30.08,False
Davion Mitchell,48,7.94,-6.4,19.6,False
Pelle Larsson,38,8.9,-4.95,22.9,False
Jaime Jaquez Jr.,38,11.97,-8.75,31.3,False
