defender_name,nearest_def_id,n_touches,mean_shot_actual,mean_shot_cf,mean_delta,pts_saved_per_touch,pts_saved_per_15games
Tyler Herro,1629639,388,0.1331,0.1421,-0.009,0.0097,3.7682
Kasparas Jakucionis,1642857,101,0.127,0.1359,-0.0089,0.0096,0.9735
Bam Adebayo,1628389,374,0.1186,0.1268,-0.0082,0.0088,3.3082
Nikola Jovic,1631107,63,0.1314,0.1392,-0.0078,0.0084,0.5322
Pelle Larsson,1641796,420,0.1147,0.1194,-0.0047,0.0051,2.1244
Norman Powell,1626181,182,0.1373,0.141,-0.0037,0.004,0.7322
Jaime Jaquez Jr.,1631170,343,0.1307,0.1272,0.0035,-0.0038,-1.2938
Simone Fontecchio,1631323,86,0.1526,0.1482,0.0044,-0.0048,-0.409
Davion Mitchell,1630558,529,0.1265,0.1218,0.0047,-0.005,-2.6676
Andrew Wiggins,203952,547,0.135,0.1272,0.0078,-0.0084,-4.6156
Dru Smith,1630696,199,0.1304,0.1219,0.0085,-0.0092,-1.8238
Kel'el Ware,1642276,102,0.1203,0.1115,0.0088,-0.0095,-0.9719
