nearest_defender_id,nearest_defender_name,shots,actual_make_rate,baseline_expected_make_rate,full_expected_make_rate,lift_vs_baseline_rate,lift_vs_full_rate,actual_minus_expected_makes_baseline,actual_minus_expected_makes_full
203952,Andrew Wiggins,64,0.468750,0.456362,0.457719,0.012388,0.011031,0.792832,0.705974
1630558,Davion Mitchell,57,0.596491,0.487652,0.550080,0.108840,0.046411,6.203864,2.645448
1641796,Pelle Larsson,47,0.553191,0.475491,0.514305,0.077700,0.038886,3.651906,1.827660
1631170,Jaime Jaquez Jr.,46,0.565217,0.469782,0.521301,0.095435,0.043916,4.390013,2.020149
1628389,Bam Adebayo,44,0.340909,0.461379,0.378213,-0.120470,-0.037303,-5.300677,-1.641351
1629639,Tyler Herro,43,0.441860,0.488075,0.454504,-0.046214,-0.012644,-1.987218,-0.543685
1626181,Norman Powell,22,0.409091,0.500576,0.485745,-0.091485,-0.076654,-2.012680,-1.686394
1630696,Dru Smith,19,0.421053,0.447149,0.418651,-0.026096,0.002402,-0.495829,0.045635
1642276,Kel'el Ware,16,0.437500,0.488881,0.462922,-0.051381,-0.025422,-0.822089,-0.406757
1642857,Kasparas Jakucionis,16,0.375000,0.457070,0.415539,-0.082070,-0.040539,-1.313115,-0.648631
1631323,Simone Fontecchio,14,0.428571,0.458936,0.467811,-0.030365,-0.039240,-0.425108,-0.549358
1631107,Nikola Jovic,8,0.250000,0.452869,0.367858,-0.202869,-0.117858,-1.622953,-0.942863
