,true_3d_contest_distance_in,contest_hand_height_in,hand_above_release_in,arm_extension_ratio,wrist_separation_in,trunk_lean_deg,foot_width_in,foot_alignment_deg,hip_shoulder_rotation_deg,gaze_to_ball_deg,pre_shot_distance_ft,reactive_speed_index,defender_lateral_speed_ft_s,defender_jump_in,deceleration_ft_s,contest_timing_frames,min_kickout_defender_gap_ft,n_open_3pt_threats,avg_off_defender_gap_ft
true_3d_contest_distance_in,1.0,-0.491,-0.487,-0.381,-0.19,0.205,0.074,-0.116,-0.132,0.062,0.34,-0.185,0.042,-0.375,0.054,-0.659,-0.123,-0.156,-0.091
contest_hand_height_in,-0.491,1.0,0.998,0.537,0.037,-0.374,-0.393,-0.087,0.105,0.033,-0.116,0.217,0.222,0.756,-0.338,0.147,0.057,0.087,0.035
hand_above_release_in,-0.487,0.998,1.0,0.535,0.037,-0.375,-0.394,-0.087,0.104,0.036,-0.116,0.215,0.221,0.755,-0.339,0.149,0.058,0.089,0.036
arm_extension_ratio,-0.381,0.537,0.535,1.0,0.281,-0.014,-0.223,0.015,0.061,0.014,-0.072,0.1,0.07,0.395,-0.228,0.112,0.007,0.042,-0.014
wrist_separation_in,-0.19,0.037,0.037,0.281,1.0,0.14,0.013,0.083,0.033,0.056,-0.043,-0.046,-0.117,0.003,0.053,0.113,-0.011,-0.02,0.015
trunk_lean_deg,0.205,-0.374,-0.375,-0.014,0.14,1.0,0.081,-0.063,-0.055,-0.044,-0.008,-0.224,-0.164,-0.18,-0.169,-0.024,-0.085,-0.083,-0.021
foot_width_in,0.074,-0.393,-0.394,-0.223,0.013,0.081,1.0,0.066,-0.022,-0.066,0.022,-0.132,-0.248,-0.514,0.214,-0.021,0.084,0.028,-0.038
foot_alignment_deg,-0.116,-0.087,-0.087,0.015,0.083,-0.063,0.066,1.0,0.051,-0.156,-0.012,-0.103,-0.27,-0.083,0.309,0.133,0.026,0.047,-0.03
hip_shoulder_rotation_deg,-0.132,0.105,0.104,0.061,0.033,-0.055,-0.022,0.051,1.0,0.002,-0.038,0.029,0.059,0.111,-0.047,0.054,-0.03,-0.028,-0.004
gaze_to_ball_deg,0.062,0.033,0.036,0.014,0.056,-0.044,-0.066,-0.156,0.002,1.0,-0.007,0.001,0.008,0.066,-0.003,-0.003,-0.024,-0.012,0.013
pre_shot_distance_ft,0.34,-0.116,-0.116,-0.072,-0.043,-0.008,0.022,-0.012,-0.038,-0.007,1.0,-0.461,0.142,-0.063,0.131,-0.447,-0.089,-0.109,-0.053
reactive_speed_index,-0.185,0.217,0.215,0.1,-0.046,-0.224,-0.132,-0.103,0.029,0.001,-0.461,1.0,0.688,0.067,-0.191,-0.047,-0.027,-0.048,-0.017
defender_lateral_speed_ft_s,0.042,0.222,0.221,0.07,-0.117,-0.164,-0.248,-0.27,0.059,0.008,0.142,0.688,1.0,0.11,-0.311,-0.33,-0.111,-0.134,-0.034
defender_jump_in,-0.375,0.756,0.755,0.395,0.003,-0.18,-0.514,-0.083,0.111,0.066,-0.063,0.067,0.11,1.0,-0.309,0.158,0.003,0.058,0.044
deceleration_ft_s,0.054,-0.338,-0.339,-0.228,0.053,-0.169,0.214,0.309,-0.047,-0.003,0.131,-0.191,-0.311,-0.309,1.0,0.082,0.032,0.009,0.013
contest_timing_frames,-0.659,0.147,0.149,0.112,0.113,-0.024,-0.021,0.133,0.054,-0.003,-0.447,-0.047,-0.33,0.158,0.082,1.0,0.133,0.182,0.137
min_kickout_defender_gap_ft,-0.123,0.057,0.058,0.007,-0.011,-0.085,0.084,0.026,-0.03,-0.024,-0.089,-0.027,-0.111,0.003,0.032,0.133,1.0,0.761,0.491
n_open_3pt_threats,-0.156,0.087,0.089,0.042,-0.02,-0.083,0.028,0.047,-0.028,-0.012,-0.109,-0.048,-0.134,0.058,0.009,0.182,0.761,1.0,0.586
avg_off_defender_gap_ft,-0.091,0.035,0.036,-0.014,0.015,-0.021,-0.038,-0.03,-0.004,0.013,-0.053,-0.017,-0.034,0.044,0.013,0.137,0.491,0.586,1.0
