feature,r_pointbiserial,p_value,p_bonferroni,partial_r_ctrl_distance,lrt_p_vs_distance,delta_cv_logloss_vs_distance
trunk_lean_deg,0.0915,0.00853,0.162,0.0675,0.05262,-0.00128
foot_alignment_deg,-0.0675,0.05239,0.99541,-0.052,0.13765,-0.00067
contest_timing_frames,-0.0295,0.39656,1.0,0.0446,0.1852,-9e-05
contest_hand_height_in,-0.078,0.02499,0.47475,-0.0336,0.33672,-0.00017
hand_above_release_in,-0.0771,0.02675,0.50828,-0.0324,0.35464,-0.00011
true_3d_contest_distance_in,0.1317,0.00015,0.00279,0.0313,0.3597,0.00059
gaze_to_ball_deg,0.043,0.21752,1.0,0.0302,0.37754,0.00161
hip_shoulder_rotation_deg,-0.035,0.31441,1.0,-0.0289,0.40818,0.00067
defender_jump_in,0.0033,0.92357,1.0,0.028,0.42017,-0.00033
wrist_separation_in,-0.0399,0.25253,1.0,-0.0268,0.44655,-0.00028
defender_lateral_speed_ft_s,-0.0268,0.44229,1.0,-0.0222,0.50644,0.00015
arm_extension_ratio,0.0088,0.79994,1.0,0.0206,0.55179,0.00212
deceleration_ft_s,-0.0265,0.44651,1.0,-0.0188,0.59368,0.00033
avg_off_defender_gap_ft,0.0021,0.95286,1.0,0.0165,0.63531,0.00132
pre_shot_distance_ft,0.0295,0.39664,1.0,-0.0162,0.63253,0.00223
foot_width_in,0.0095,0.78507,1.0,0.0132,0.71121,0.00158
min_kickout_defender_gap_ft,-0.0115,0.74184,1.0,0.0068,0.84373,0.00212
n_open_3pt_threats,-0.0267,0.44274,1.0,-0.0027,0.93663,0.00128
reactive_speed_index,-0.0312,0.3709,1.0,-0.0018,0.96009,0.00383
