nearest_defender_id,defender_name,n_shots,mean_scq,lift_pp,ci_lower_pp,ci_upper_pp
1628389,Bam Adebayo,24,0.12957633647622843,-21.599595753047105,-37.52865524555614,-6.4047444548258365
1626181,Norman Powell,15,0.06763583857257484,-5.686591216528812,-37.44773138959521,23.137626604140117
1642276,Kel'el Ware,10,0.05793169130036915,-6.349459552833539,-42.2991140051778,45.668037760796835
1642857,Kasparas Jakucionis,13,0.0297011493088684,-10.961989134486846,-30.97533967211307,17.14402348165579
1641796,Pelle Larsson,38,0.02463778812334484,9.022015182420558,-4.759035477674871,22.9793663483731
1631107,Nikola Jovic,8,0.0226271973144587,-17.007564957862954,-44.69311001571287,24.275430056115162
1631323,Simone Fontecchio,9,0.0211023223968057,1.711756458093662,-41.8071028414179,34.55873721220292
1631170,Jaime Jaquez Jr.,38,-0.004516505624045371,12.23984253250173,-8.562293629072476,31.675113306349996
1629639,Tyler Herro,32,-0.013478555580825103,-10.274456263294004,-27.87574394686776,6.388398648598641
1630558,Davion Mitchell,48,-0.018238586401491463,8.130234749114255,-6.200042893449884,19.773748645452557
203952,Andrew Wiggins,50,-0.054554613821657334,1.224888579889352,-15.262592913319066,14.032652171688847
1630696,Dru Smith,16,-0.14685658313920336,6.643905115525553,-15.239772323438117,30.269073298918894
