unmatched_type,game_file,game_id,opponent,period,shooter_id,shooter_name,release_frame,release_game_clock,release_shot_clock,contest_distance_ft,shot_contest_quality,pbp_shot_result,pbp_conclusion_game_clock,pbp_description
tracking_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,1,1628398,Kyle Kuzma,47788,4:31,18,5.603,37.79,NA,NA,NA
tracking_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,3,1631260,AJ Green,214047,10:01,9,3.616,67.34,NA,NA,NA
tracking_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,3,1626167,Myles Turner,219533,9:27,1.4,3.739,44.52,NA,NA,NA
tracking_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,4,1631157,Ryan Rollins,347170,6:34,22,6.79,56.24,NA,NA,NA
pbp_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,1,1631157,Ryan Rollins,NA,NA,NA,NA,NA,Missed,6:56,MISS R. Rollins 3PT
pbp_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,2,1626171,Bobby Portis,NA,NA,NA,NA,NA,Missed,10:11,MISS B. Portis 25' 3PT
pbp_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,2,1630175,Cole Anthony,NA,NA,NA,NA,NA,Missed,9:52,MISS C. Anthony 25' running pullup 3PT
pbp_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,2,1629018,Gary Trent Jr.,NA,NA,NA,NA,NA,Missed,5:38,MISS G. Trent Jr. 24' step back 3PT
pbp_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,2,1629018,Gary Trent Jr.,NA,NA,NA,NA,NA,Missed,1:15,MISS G. Trent Jr. 25' 3PT
pbp_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,3,1629018,Gary Trent Jr.,NA,NA,NA,NA,NA,Missed,10:47,MISS G. Trent Jr. 26' 3PT
pbp_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,4,1626171,Bobby Portis,NA,NA,NA,NA,NA,Missed,9:56,MISS B. Portis 25' pullup 3PT
pbp_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,4,1631157,Ryan Rollins,NA,NA,NA,NA,NA,Missed,6:28,MISS R. Rollins 28' pullup 3PT
pbp_only,nba_game_0022500062_processed.parquet,0022500062,Bucks,4,1626167,Myles Turner,NA,NA,NA,NA,NA,Missed,5:58,MISS M. Turner 25' 3PT
tracking_only,nba_game_0022500296_processed.parquet,0022500296,Pistons,2,202699,Tobias Harris,181498,3:21,13,6.196,23.95,NA,NA,NA
pbp_only,nba_game_0022500296_processed.parquet,0022500296,Pistons,2,1629130,Duncan Robinson,NA,NA,NA,NA,NA,Missed,7:38,MISS D. Robinson 29' 3PT
pbp_only,nba_game_0022500296_processed.parquet,0022500296,Pistons,3,202699,Tobias Harris,NA,NA,NA,NA,NA,Missed,10:58,MISS T. Harris 3PT
pbp_only,nba_game_0022500296_processed.parquet,0022500296,Pistons,3,1629130,Duncan Robinson,NA,NA,NA,NA,NA,Missed,4:19,MISS D. Robinson 25' pullup 3PT
pbp_only,nba_game_0022500296_processed.parquet,0022500296,Pistons,4,1630595,Cade Cunningham,NA,NA,NA,NA,NA,Missed,9:32,MISS C. Cunningham 26' step back 3PT
tracking_only,nba_game_0022500313_processed.parquet,0022500313,Clippers,1,1627739,Kris Dunn,12881,9:05,20,6.682,15.43,NA,NA,NA
pbp_only,nba_game_0022500313_processed.parquet,0022500313,Clippers,1,1642920,Kobe Sanders,NA,NA,NA,NA,NA,Missed,4:05,MISS K. Sanders 24' running 3PT - blocked
pbp_only,nba_game_0022500313_processed.parquet,0022500313,Clippers,2,1641757,J. Miller,NA,NA,NA,NA,NA,Missed,10:22,MISS J. Miller 3PT - blocked
pbp_only,nba_game_0022500313_processed.parquet,0022500313,Clippers,2,201935,James Harden,NA,NA,NA,NA,NA,Missed,6:07,MISS J. Harden 26' step back 3PT
pbp_only,nba_game_0022500313_processed.parquet,0022500313,Clippers,2,1627739,Kris Dunn,NA,NA,NA,NA,NA,Missed,1:15,MISS K. Dunn 25' 3PT
pbp_only,nba_game_0022500313_processed.parquet,0022500313,Clippers,2,1642920,Kobe Sanders,NA,NA,NA,NA,NA,Missed,0:06,MISS K. Sanders 3PT
pbp_only,nba_game_0022500313_processed.parquet,0022500313,Clippers,3,101108,Chris Paul,NA,NA,NA,NA,NA,Missed,3:06,MISS C. Paul 26' pullup 3PT
pbp_only,nba_game_0022500313_processed.parquet,0022500313,Clippers,3,1641738,Kobe Brown,NA,NA,NA,NA,NA,Missed,2:12,MISS K. Brown 24' 3PT
pbp_only,nba_game_0022500313_processed.parquet,0022500313,Clippers,3,202695,Kawhi Leonard,NA,NA,NA,NA,NA,Missed,0:02,MISS K. Leonard 28' pullup 3PT
tracking_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,1,1642843,Cooper Flagg,20516,8:58,18,10.008,24.43,NA,NA,NA
tracking_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,1,202691,Klay Thompson,89120,1:39,1.1,5.806,55.08,NA,NA,NA
tracking_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,3,1642948,Ryan Nembhard,224484,10:25,14,2.548,61.59,NA,NA,NA
tracking_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,4,1642948,Ryan Nembhard,406411,25.1,2.5,6.103,44.24,NA,NA,NA
pbp_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,1,203076,Anthony Davis,NA,NA,NA,NA,NA,Missed,9:46,MISS A. Davis 26' 3PT
pbp_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,1,202691,Klay Thompson,NA,NA,NA,NA,NA,Missed,7:24,MISS K. Thompson 25' 3PT
pbp_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,1,1626156,D'Angelo Russell,NA,NA,NA,NA,NA,Missed,0:26,MISS D. Russell 28' pullup 3PT
pbp_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,2,202691,Klay Thompson,NA,NA,NA,NA,NA,Missed,0:46,MISS K. Thompson 25' 3PT
pbp_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,3,202691,Klay Thompson,NA,NA,NA,NA,NA,Missed,7:03,MISS K. Thompson 26' running 3PT
pbp_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,3,1631108,Max Christie,NA,NA,NA,NA,NA,Missed,5:55,MISS M. Christie 24' 3PT
pbp_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,3,202691,Klay Thompson,NA,NA,NA,NA,NA,Missed,1:54,MISS K. Thompson 26' 3PT
pbp_only,nba_game_0022500332_processed.parquet,0022500332,Mavericks,4,203076,Anthony Davis,NA,NA,NA,NA,NA,Missed,8:32,MISS A. Davis 26' 3PT
tracking_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,2,201144,Mike Conley,192363,2:09,21,5.337,31.32,NA,NA,NA
tracking_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,3,1628978,Donte DiVincenzo,281082,2:53,23,18.047,0.83,NA,NA,NA
tracking_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,4,1642265,Rob Dillingham,416113,40.2,21,4.523,48.69,NA,NA,NA
pbp_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,1,1630162,Anthony Edwards,NA,NA,NA,NA,NA,Missed,6:00,MISS A. Edwards 24' pullup 3PT
pbp_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,1,201144,Mike Conley,NA,NA,NA,NA,NA,Missed,3:31,MISS M. Conley step back 3PT
pbp_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,1,1629675,Naz Reid,NA,NA,NA,NA,NA,Missed,0:58,MISS N. Reid 25' 3PT
pbp_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,2,201144,Mike Conley,NA,NA,NA,NA,NA,Missed,1:29,MISS M. Conley 24' 3PT
pbp_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,4,1630183,Jaden McDaniels,NA,NA,NA,NA,NA,Missed,9:36,MISS J. McDaniels 28' 3PT
pbp_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,4,1628978,Donte DiVincenzo,NA,NA,NA,NA,NA,Missed,9:08,MISS D. DiVincenzo 25' step back 3PT
pbp_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,4,204060,J. Ingles,NA,NA,NA,NA,NA,Missed,3:49,MISS J. Ingles 25' 3PT
pbp_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,4,1630548,J. Juzang,NA,NA,NA,NA,NA,Missed,1:28,MISS J. Juzang 25' 3PT
pbp_only,nba_game_0022500513_processed.parquet,0022500513,Timberwolves,4,1630548,J. Juzang,NA,NA,NA,NA,NA,Missed,1:17,MISS J. Juzang 3PT
tracking_only,nba_game_0022500553_processed.parquet,0022500553,Thunder,2,1630598,Aaron Wiggins,124703,9:47,12,9.185,21.88,NA,NA,NA
tracking_only,nba_game_0022500553_processed.parquet,0022500553,Thunder,2,1642349,Ajay Mitchell,202593,0.6,NA,9.678,9.38,NA,NA,NA
tracking_only,nba_game_0022500553_processed.parquet,0022500553,Thunder,3,1628983,Shai Gilgeous-Alexander,269418,4:58,15,4.064,23.62,NA,NA,NA
pbp_only,nba_game_0022500553_processed.parquet,0022500553,Thunder,3,1628983,Shai Gilgeous-Alexander,NA,NA,NA,NA,NA,Missed,11:14,MISS S. Gilgeous-Alexander 25' pullup 3PT
pbp_only,nba_game_0022500553_processed.parquet,0022500553,Thunder,3,1641717,Cason Wallace,NA,NA,NA,NA,NA,Missed,9:46,MISS C. Wallace 3PT
pbp_only,nba_game_0022500553_processed.parquet,0022500553,Thunder,3,1642349,Ajay Mitchell,NA,NA,NA,NA,NA,Missed,2:14,MISS A. Mitchell 3PT
pbp_only,nba_game_0022500553_processed.parquet,0022500553,Thunder,4,1630198,Isaiah Joe,NA,NA,NA,NA,NA,Missed,10:23,MISS I. Joe 26' 3PT
