nba_id,player,pos2,primary_pos,active,height_wo_shoes_in,wingspan_in,height_wingspan_diff_in,team,d_dpm
201166,Aaron Brooks,PG,PG,false,70,76,6,,
203905,Aaron Craft,UNK,UNK,false,72.75,74,1.25,,
203932,Aaron Gordon,PF,PF,true,79.5,83.75,4.25,DEN,0.44
201189,Aaron Gray,C,C,false,84,87.25,3.25,,
1626151,Aaron Harrison,SG,SG,false,76.5,80.25,3.75,,
1630565,Aaron Henry,SG,SG,false,76.5,82.75,6.25,,
1628988,Aaron Holiday,PG,PG,true,71.75,79.5,7.75,HOU,-0.46
12056,Aaron McGhee,UNK,UNK,false,79,82,3,,
101223,Aaron Miles,PG,PG,false,72,75.5,3.5,,
1630174,Aaron Nesmith,SG,SG,true,77,82,5,IND,0.26
1630598,Aaron Wiggins,SG,SG,true,76.5,81.75,5.25,OKC,1.2
1642846,Ace Bailey,SG,SG,true,79.5,84.5,5,UTA,-1.39
201151,Acie Law,PG,PG,false,74,78.5,4.5,,
12033,Adam Allenspach,UNK,UNK,false,83.5,84.5,1,,
1641766,Adama Sanogo,PF,PF,false,79.25,86.75,7.5,,
200747,Adam Morrison,SF,SF,false,78.5,82,3.5,,
1641737,Adem Bona,C,C,true,80.25,84.25,4,PHI,1.2
1629678,Admiral Schofield,PF,PF,false,76,81.75,5.75,,
203519,Adonis Thomas,SF,SF,false,76.75,85,8.25,,
1642876,Adou Thiero,SG,SG,true,78.25,84,5.75,LAL,0
203940,Adreian Payne,PF,PF,false,81,88,7,,
12011,Aerick Sanders,UNK,UNK,false,78.5,83.5,5,,
1642349,Ajay Mitchell,PG,PG,true,75.25,78.25,3,OKC,-0.05
12137,A.J. Granger,UNK,UNK,false,79.5,81.5,2,,
1631260,AJ Green,SG,SG,true,76,79,3,MIL,-0.13
1631100,AJ Griffin,SF,SF,false,76.5,82.5,6,,
2062,A.J. Guyton,PG,PG,false,72.75,75.75,3,,
1642358,AJ Johnson,SG,SG,true,76.25,80.5,4.25,DAL,-1.12
1630639,A.J. Lawson,SG,SG,true,77.5,78.75,1.25,TOR,-0.81
201985,A.J. Price,PG,PG,false,72.5,75.75,3.25,,
101187,Alan Anderson,SF,SF,false,76.5,81.5,5,,
1626210,Alan Williams,PF,PF,false,79.25,85.75,6.5,,
203938,Alec Brown,UNK,UNK,false,84.25,85.5,1.25,,
202692,Alec Burks,SG,SG,true,77,82,5,MIA,0.13
1628409,Alec Peters,PF,PF,false,79.25,82.75,3.5,,
12175,Aleksandar Capin,UNK,UNK,false,72,73.5,1.5,,
12075,Aleksander Djuric,UNK,UNK,false,82,84,2,,
12262,Aleks Maric,UNK,UNK,false,81.75,85,3.25,,
12176,Ales Chan,UNK,UNK,false,84,87,3,,
101165,Alex Acker,SG,SG,false,75.75,84,8.25,,
1627936,Alex Caruso,SG,SG,true,76,78,2,OKC,2.51
1642284,Alex Karaban,SF,SF,false,78.5,83,4.5,,
203945,Alex Kirk,C,C,false,81.25,87.5,6.25,,
203458,Alex Len,C,C,true,82.75,87.5,4.75,LAL,1.05
1642259,Alex Sarr,C,C,true,83.75,88.25,4.5,WAS,-1.08
2637,Alex Scales,UNK,UNK,false,74.25,81,6.75,,
1642893,Alex Toohey,UNK,UNK,false,79.75,82.75,3,,
202329,Al-Farouq Aminu,PF,PF,false,79.25,87.25,8,,
201143,Al Horford,C,C,true,80,84.75,4.75,GSW,0.44
1642918,Alijah Martin,PG,PG,true,73.5,79.5,6,TOR,-0.18
12233,Ali Traore,UNK,UNK,false,80.75,88,7.25,,
1628993,Alize Johnson,PF,PF,false,79.25,80.75,1.5,,
2744,Al Jefferson,C,C,false,80.5,86.5,6,,
200810,Allan Ray,SG,SG,false,73,80.5,7.5,,
203459,Allen Crabbe,SG-SF,SG,false,77.25,83.25,6,,
1629019,Allonzo Trier,SG,SG,false,75.75,78.75,3,,
1631214,Alondes Williams,SG,SG,false,75.75,79,3.25,,
200995,Aloysius Anagonye,UNK,UNK,false,78.75,86.5,7.75,,
1630578,Alperen Sengun,C,C,true,82,84.5,2.5,HOU,1.16
