action_index,period,iso_clock,remaining_sec_target,person_id,shooter_abbr,shot_result,opponent_tricode,description,pbp_timeActual_iso,tracking_clock_match,centroid_x,centroid_y,frame_match,tracking_clock_timeUTC_snap,remaining_sec_actual,remain_sec_abs_delta,full_name_roster,tracking_clock_ok,hawkeye_arc_window_frames,hawkeye_arc_peak_frame,hawkeye_arc_peak_timeUTC,hawkeye_arc_peak_ball_z,hawkeye_arc_score,hawkeye_arc_note,pbp_ts_wallclock,hawkeye_arc_peak_ts,hawkeye_centroid_snap_ts,delta_sec_pbp_wallclock_minus_hawkeye_arc_peak,delta_sec_pbp_wallclock_minus_hawkeye_centroid_snap
2,1,PT11M39.00S,699.0,1631157,R. Rollins,Missed,MIL,MISS R. Rollins 24' pullup 3PT,2025-11-27T00:42:13.7Z,11:39,215.515,272.222,1257,2025-11-27T00:42:14.896Z,699.0,0.0,Ryan Rollins,True,35,1258,2025-11-27T00:42:14.913Z,158.08,155.580000,ball_z_local_maximum_scored_near_anchor_frame,2025-11-27 00:42:13.700000+00:00,2025-11-27 00:42:14.913000+00:00,2025-11-27 00:42:14.896000+00:00,-1.213,-1.196
6,1,PT10M58.00S,658.0,1631157,R. Rollins,Missed,MIL,MISS R. Rollins 3PT,2025-11-27T00:43:00.8Z,10:58,535.638,320.172,4069,2025-11-27T00:43:01.775Z,658.0,0.0,Ryan Rollins,True,35,4076,2025-11-27T00:43:01.891Z,166.15,148.650000,ball_z_local_maximum_scored_near_anchor_frame,2025-11-27 00:43:00.800000+00:00,2025-11-27 00:43:01.891000+00:00,2025-11-27 00:43:01.775000+00:00,-1.091,-0.975
9,1,PT10M29.00S,629.0,1631260,A. Green,Made,MIL,A. Green 24' 3PT  (3 PTS) (G. Trent Jr. 1 AST),2025-11-27T00:43:30.3Z,10:29,301.326,295.108,5809,2025-11-27T00:43:30.771Z,629.0,0.0,AJ Green,True,35,5775,2025-11-27T00:43:30.204Z,194.56,109.560000,ball_z_local_maximum_scored_near_anchor_frame,2025-11-27 00:43:30.300000+00:00,2025-11-27 00:43:30.204000+00:00,2025-11-27 00:43:30.771000+00:00,0.096,-0.471
11,1,PT10M00.00S,600.0,1631260,A. Green,Made,MIL,A. Green 25' 3PT  (6 PTS) (R. Rollins 1 AST),2025-11-27T00:43:59.1Z,10:00,-109.207,-40.841,7549,2025-11-27T00:43:59.769Z,600.0,0.0,AJ Green,True,35,7561,2025-11-27T00:43:59.969Z,46.985,16.985000,ball_z_local_maximum_scored_near_anchor_frame,2025-11-27 00:43:59.100000+00:00,2025-11-27 00:43:59.969000+00:00,2025-11-27 00:43:59.769000+00:00,-0.869,-0.669
30,1,PT07M26.00S,446.0,1631157,R. Rollins,Missed,MIL,MISS R. Rollins 25' step back 3PT,2025-11-27T00:46:58.9Z,7:26,286.854,270.297,18355,2025-11-27T00:46:59.868Z,446.0,0.0,Ryan Rollins,True,35,18358,2025-11-27T00:46:59.918Z,153.512,146.012000,ball_z_local_maximum_scored_near_anchor_frame,2025-11-27 00:46:58.900000+00:00,2025-11-27 00:46:59.918000+00:00,2025-11-27 00:46:59.868000+00:00,-1.018,-0.968
37,1,PT06M56.00S,416.0,1631157,R. Rollins,Missed,MIL,MISS R. Rollins 3PT,2025-11-27T00:48:40.0Z,6:56,541.149,274.907,24343,2025-11-27T00:48:39.674Z,416.0,0.0,Ryan Rollins,True,35,24351,2025-11-27T00:48:39.807Z,192.091,172.091000,ball_z_local_maximum_scored_near_anchor_frame,2025-11-27 00:48:40+00:00,2025-11-27 00:48:39.807000+00:00,2025-11-27 00:48:39.674000+00:00,0.193,0.326
84,1,PT03M06.00S,186.0,1629018,G. Trent Jr.,Made,MIL,G. Trent Jr. 24' 3PT  (3 PTS) (M. Turner 1 AST),2025-11-27T01:00:11.3Z,3:06,366.307,279.152,65814,2025-11-27T01:00:10.874Z,186.0,0.0,Gary Trent Jr.,True,75,65873,2025-11-27T01:00:11.857Z,190.365,42.865000,ball_z_local_maximum_scored_near_anchor_frame,2025-11-27 01:00:11.300000+00:00,2025-11-27 01:00:11.857000+00:00,2025-11-27 01:00:10.874000+00:00,-0.557,0.426
89,1,PT02M23.00S,143.0,1631157,R. Rollins,Made,MIL,R. Rollins 24' 3PT  (7 PTS) (M. Turner 2 AST),2025-11-27T01:00:53.7Z,2:23,201.861,60.568,68393,2025-11-27T01:00:53.868Z,143.0,0.0,Ryan Rollins,True,35,68392,2025-11-27T01:00:53.851Z,192.17,189.670000,ball_z_local_maximum_scored_near_anchor_frame,2025-11-27 01:00:53.700000+00:00,2025-11-27 01:00:53.851000+00:00,2025-11-27 01:00:53.868000+00:00,-0.151,-0.168
107,1,PT00M44.50S,44.5,1630175,C. Anthony,Missed,MIL,MISS C. Anthony 24' 3PT,2025-11-27T01:03:10.1Z,44.5,302.864,210.152,76578,2025-11-27T01:03:10.271Z,44.5,0.0,Cole Anthony,True,35,76594,2025-11-27T01:03:10.538Z,203.902,163.902000,ball_z_local_maximum_scored_near_anchor_frame,2025-11-27 01:03:10.100000+00:00,2025-11-27 01:03:10.538000+00:00,2025-11-27 01:03:10.271000+00:00,-0.438,-0.171
143,2,PT10M11.00S,611.0,1626171,B. Portis,Missed,MIL,MISS B. Portis 25' 3PT,2025-11-27T01:12:18.1Z,10:11,191.392,20.46,109433,2025-11-27T01:12:17.865Z,611.0,0.0,Bobby Portis,True,35,109458,2025-11-27T01:12:18.281Z,206.861,144.361000,ball_z_local_maximum_scored_near_anchor_frame,2025-11-27 01:12:18.100000+00:00,2025-11-27 01:12:18.281000+00:00,2025-11-27 01:12:17.865000+00:00,-0.181,0.235
