game_file,opponent,frame,period,game_clock,shot_clock,shooter_id,shooter_name,shooter_team,shooter_dist_to_rim_in,rim_x,rim_y,release_ball_x,release_ball_y,release_ball_z,min_ball_rim_3d_in,nearest_defender_id,nearest_defender_name,contest_distance_ft,closeout_speed_ft_s,closeout_delta_ft_500ms,contest_angle_deg,hand_up_in,shot_contest_quality
nba_game_0022500062_processed.parquet,Bucks,1146,1,11:41,7,1631157,Ryan Rollins,Bucks,344.94,516.0,0.0,270.147,226.646,93.209,13.43,1626181,Norman Powell,9.285,-2.045,-1.022,168.24,17.83,17.36
nba_game_0022500062_processed.parquet,Bucks,3966,1,11:00,6,1631157,Ryan Rollins,Bucks,284.25,516.0,0.0,504.131,280.474,91.022,13.0,1630558,Davion Mitchell,2.968,8.426,4.213,165.36,45.9,69.61
nba_game_0022500062_processed.parquet,Bucks,5724,1,10:31,12,1631260,AJ Green,Bucks,321.75,516.0,0.0,346.996,274.394,91.35,10.35,1626181,Norman Powell,5.831,2.305,1.153,170.11,36.98,38.24
nba_game_0022500062_processed.parquet,Bucks,7339,1,10:04,17,1631260,AJ Green,Bucks,382.08,516.0,0.0,133.562,-16.787,91.063,11.32,1630558,Davion Mitchell,6.329,6.874,3.437,107.93,10.2,47.13
nba_game_0022500062_processed.parquet,Bucks,18257,1,7:28,12,1631157,Ryan Rollins,Bucks,311.01,516.0,0.0,308.002,219.139,93.15,13.27,1628389,Bam Adebayo,6.466,5.669,2.835,162.29,44.56,48.63
nba_game_0022500062_processed.parquet,Bucks,47788,1,4:31,18,1628398,Kyle Kuzma,Bucks,309.12,516.0,0.0,210.495,26.425,91.278,12.07,1628389,Bam Adebayo,5.603,1.974,0.987,166.9,33.66,37.79
nba_game_0022500062_processed.parquet,Bucks,65829,1,3:06,3.1,1629018,Gary Trent Jr.,Bucks,309.68,516.0,0.0,376.12,267.696,92.464,12.78,1630696,Dru Smith,7.383,14.3,7.15,138.92,37.16,54.16
nba_game_0022500062_processed.parquet,Bucks,68348,1,2:24,11,1631157,Ryan Rollins,Bucks,318.76,516.0,0.0,210.24,54.154,90.571,12.41,1631323,Simone Fontecchio,7.727,14.797,7.398,137.2,46.79,52.95
nba_game_0022500062_processed.parquet,Bucks,76549,1,45.0,9,1630175,Cole Anthony,Bucks,307.9,516.0,0.0,300.704,201.694,92.19,17.67,1630696,Dru Smith,4.584,14.959,7.48,132.95,37.35,63.96
nba_game_0022500062_processed.parquet,Bucks,109695,2,10:07,12,1631157,Ryan Rollins,Bucks,283.63,516.0,0.0,494.166,-277.235,90.358,11.01,1642276,Kel'el Ware,5.161,12.808,6.404,112.32,44.02,61.94
nba_game_0022500062_processed.parquet,Bucks,113082,2,9:11,17,1626171,Bobby Portis,Bucks,317.27,516.0,0.0,200.963,44.91,91.785,10.06,1642276,Kel'el Ware,5.992,3.991,1.996,175.26,34.59,43.99
nba_game_0022500062_processed.parquet,Bucks,132404,2,7:58,8,1631157,Ryan Rollins,Bucks,368.02,516.0,0.0,160.052,0.256,90.302,10.45,1641796,Pelle Larsson,8.153,6.744,3.372,170.5,15.26,44.47
nba_game_0022500062_processed.parquet,Bucks,134700,2,7:20,6,1631157,Ryan Rollins,Bucks,295.61,516.0,0.0,423.55,269.875,91.449,11.39,1642276,Kel'el Ware,6.39,4.91,2.455,162.31,45.14,46.05
nba_game_0022500062_processed.parquet,Bucks,136144,2,6:56,12,1631260,AJ Green,Bucks,315.69,516.0,0.0,217.62,-102.802,91.349,10.8,1641796,Pelle Larsson,5.715,4.493,2.247,169.03,30.87,46.85
nba_game_0022500062_processed.parquet,Bucks,166086,2,3:38,2.3,1626167,Myles Turner,Bucks,314.04,516.0,0.0,231.561,110.884,90.18,11.66,1626181,Norman Powell,6.859,0.368,0.184,130.16,2.96,14.84
nba_game_0022500062_processed.parquet,Bucks,171117,2,2:14,14,1631260,AJ Green,Bucks,386.74,516.0,0.0,137.177,-94.155,91.011,10.77,1628389,Bam Adebayo,6.814,0.729,0.364,166.01,32.64,28.89
nba_game_0022500062_processed.parquet,Bucks,174742,2,1:46,17,1631157,Ryan Rollins,Bucks,317.02,516.0,0.0,226.931,107.75,90.217,12.73,1630558,Davion Mitchell,8.775,4.433,2.216,159.67,0.54,21.36
